ts_code,trade_date,close,open,high,low,pre_close,change,pct_chg,vol,amount
000016.SH,20260327,2837.3064,2803.4975,2845.8344,2803.4975,2824.6744,12.632,0.4472,46525441.0,103294765.815
000016.SH,20260326,2824.6744,2854.5042,2862.3274,2819.0672,2859.5345,-34.8601,-1.2191,52322127.0,113550786.856
000016.SH,20260325,2859.5345,2845.4092,2862.573,2842.1889,2830.854,28.6805,1.0131,63965550.0,133500631.806
000016.SH,20260324,2830.854,2813.4977,2831.2721,2790.8032,2792.3288,38.5252,1.3797,63312736.0,135732067.71
000016.SH,20260323,2792.3288,2847.5219,2847.7762,2779.599,2883.8644,-91.5356,-3.1741,86976633.0,173992569.534
000016.SH,20260320,2883.8644,2914.851,2924.3763,2881.9471,2916.2348,-32.3704,-1.11,66097073.0,135730910.402
000016.SH,20260319,2916.2348,2933.5774,2942.4588,2908.4428,2961.4264,-45.1916,-1.526,67079441.0,136419483.407
000016.SH,20260318,2961.4264,2965.8607,2970.1876,2939.7483,2963.5779,-2.1515,-0.0726,54413790.0,113721675.957
000016.SH,20260317,2963.5779,2957.0148,2995.2259,2956.1591,2954.0885,9.4894,0.3212,62604978.0,132384455.987
000016.SH,20260316,2954.0885,2952.4201,2955.0036,2927.9359,2956.8468,-2.7583,-0.0933,59596018.0,143861980.866
000016.SH,20260313,2956.8468,2961.7335,2977.8417,2951.7012,2971.5612,-14.7144,-0.4952,68633013.0,134239212.515
000016.SH,20260312,2971.5612,2978.1151,2985.5464,2954.3045,2985.3449,-13.7837,-0.4617,55644111.0,125464705.716
000016.SH,20260311,2985.3449,2983.4602,2988.7538,2970.8324,2981.8351,3.5098,0.1177,56031984.0,122447089.4
000016.SH,20260310,2981.8351,2973.8197,2985.3088,2969.9116,2962.9888,18.8463,0.6361,54226915.0,121762430.508
000016.SH,20260309,2962.9888,2963.1998,2970.9461,2933.9168,2992.7021,-29.7133,-0.9929,78658126.0,171357039.908
000016.SH,20260306,2992.7021,2972.59,2999.7239,2970.5786,2988.4505,4.2516,0.1423,50536462.0,114511259.536
